,complaintid,buildingid,boroughid,borough,housenumber,streetname,zip,block,lot,apartment,communityboard,receiveddate,statusid,status,statusdate
203,7419390,306891,3,BROOKLYN,243,HANCOCK STREET,11216,1834,72,1,3,2015-04-01T00:00:00.000,2,CLOSE,2015-04-07T00:00:00.000
204,7419391,349509,3,BROOKLYN,1302,PACIFIC STREET,11216,1207,25,3D,8,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
205,7419395,28141,1,MANHATTAN,574,ST NICHOLAS AVENUE,10030,2048,16,33,10,2015-04-01T00:00:00.000,2,CLOSE,2015-04-14T00:00:00.000
206,7419396,118818,2,BRONX,2075,WALLACE AVENUE,10462,4291,1,464,11,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
207,7419397,811186,4,QUEENS,120,BEACH 19 STREET,11691,15638,1,6B,14,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
208,7419398,21850,1,MANHATTAN,660,FT WASHINGTON AVENUE,10040,2180,406,6A,12,2015-04-01T00:00:00.000,2,CLOSE,2015-04-01T00:00:00.000
209,7419399,948155,3,BROOKLYN,642,ELDERT LANE,11208,4257,1,6C,5,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
210,7419403,883806,2,BRONX,3121,VILLA AVENUE,10468,3322,57,11A,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-14T00:00:00.000
211,7419405,53832,2,BRONX,30,BUCHANAN PLACE,10453,3196,10,BLDG,5,2015-04-01T00:00:00.000,2,CLOSE,2015-04-09T00:00:00.000
212,7419407,288358,3,BROOKLYN,234,ECKFORD STREET,11222,2622,51,1L,1,2015-04-01T00:00:00.000,2,CLOSE,2015-04-07T00:00:00.000
213,7419408,89740,2,BRONX,3246,KINGSBRIDGE AVENUE,10463,5755,28,31,8,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
214,7419409,16961,1,MANHATTAN,334,EAST 81 STREET,10028,1543,38,4G,8,2015-04-01T00:00:00.000,2,CLOSE,2015-04-24T00:00:00.000
215,8320190,26996,1,MANHATTAN,22,POST AVENUE,10034,2220,41,55,12,2016-12-28T00:00:00.000,2,CLOSE,2017-01-29T00:00:00.000
