dbn,school_name,school_type,parent_response_rate,teacher_response_rate,student_response_rate,total_safety_and_respect,total_communication_score,total_engagement_score,total_academic_expectations
dbn,locationname,NA,rr_p,rr_t,rr_s,saf_tot_12,com_tot_12,eng_tot_12,aca_tot_12
05M030,P.S. 030 Hernandez/Hughes,Elementary School,84%,100%,NA,8.4,8.1,8.1,8.3
05M036,P.S. 036 Margaret Douglas,Elementary School,40%,70%,NA,7.7,7.0,7.1,7.1
05M046,P.S. 046 Arthur Tappan,Elementary/Middle School,73%,100%,97%,7.6,7.5,7.8,8.1
05M092,P.S. 092 Mary Mcleod Bethune,Elementary School,100%,93%,NA,8.5,8.4,8.4,8.6
05M123,P.S. 123 Mahalia Jackson,Elementary/Middle School,69%,81%,77%,7.9,7.6,7.9,8.3
05M125,P.S. 125 Ralph Bunche,Elementary School,86%,74%,NA,8.2,8.2,8.0,8.2
05M129,P.S. 129 John H. Finley,Elementary/Middle School,28%,43%,65%,6.8,6.8,7.2,7.7
05M133,P.S. 133 Fred R Moore,Elementary School,88%,86%,NA,7.2,6.3,6.6,6.7
05M154,P.S. 154 Harriet Tubman,Elementary School,67%,94%,NA,8.1,7.5,7.7,7.7
05M161,P.S. 161 Pedro Albizu Campos,Elementary/Middle School,52%,95%,91%,7.5,7.4,7.7,8.2
05M175,P.S. 175 Henry H Garnet,Elementary School,75%,37%,NA,7.8,6.9,7.8,7.6
05M194,P.S. 194 Countee Cullen,Elementary School,80%,65%,NA,7.8,7.8,7.7,7.8
05M195,I.S. 195 Roberto Clemente,Middle School,68%,77%,94%,6.4,6.4,6.8,7.0
05M197,P.S. 197 John B. Russwurm,Elementary School,85%,100%,NA,8.2,8.0,8.0,8.1
05M200,P.S. 200- The James Mccune Smith School,Elementary School,67%,87%,NA,7.6,7.0,7.2,7.5
05M285,Harlem Renaissance High School,Transfer High School,24%,100%,74%,7.8,7.1,7.6,7.8
05M286,I.S. M286 Renaissance Military Leadership Academy,Middle School,65%,93%,96%,8.0,7.6,8.0,8.5
05M302,Kappa Iv,Middle School,54%,67%,95%,7.4,7.2,7.4,7.8
05M304,Mott Hall High School,High School,78%,90%,99%,7.7,7.2,7.2,7.5
05M318,Thurgood Marshall Academy Lower School,Elementary School,79%,100%,NA,8.8,8.6,8.7,8.8
05M362,Columbia Secondary School,Middle/High School,39%,63%,95%,7.8,7.0,7.3,7.9
05M367,Academy For Social Action: A College Board School,Middle/High School,12%,67%,62%,5.5,5.1,5.3,5.8
05M369,Urban Assembly School For The Performing Arts,High School,54%,100%,84%,6.5,5.6,5.8,6.2
05M410,The Urban Assembly Institute For New Technologies,Middle School,1%,23%,27%,6.7,6.8,7.5,8.2
05M469,Choir Academy Of Harlem,Middle/High School,24%,42%,88%,6.5,6.6,6.6,6.9
05M499,Frederick Douglass Academy,Middle/High School,14%,48%,72%,6.7,6.5,6.8,7.3
05M514,New Design Middle School,Middle School,85%,89%,93%,7.7,7.7,8.0,8.3
05M517,Teachers College Community School,Early Childhood School,94%,100%,NA,9.4,9.1,9.2,9.5
05M670,Thurgood Marshall Academy For Learning And Social,Middle/High School,41%,81%,83%,7.6,6.8,7.1,7.5
05M685,Bread & Roses Integrated Arts High School,High School,25%,87%,62%,7.0,6.5,6.8,6.8
05M692,"High School For Mathematics, Science And Engineeri",High School,41%,97%,66%,8.5,7.4,7.6,8.2
06M004,P.S. 004 Duke Ellington,Elementary School,43%,52%,NA,8.6,7.6,7.9,8.1
06M005,P.S. 005 Ellen Lurie,Elementary School,63%,77%,NA,7.9,6.9,7.4,7.3
06M008,P.S. 008 Luis Belliard,Elementary School,93%,95%,NA,8.8,8.3,8.4,8.6
06M018,P.S. 018 Park Terrace,Elementary/Middle School,93%,88%,99%,8.1,7.4,7.9,8.1
06M028,P.S. 028 Wright Brothers,Elementary School,80%,99%,NA,8.6,7.7,7.8,8.1
06M048,P.S. 048 P.O. Michael J. Buczek,Elementary School,57%,84%,NA,8.3,7.3,7.8,7.9
06M052,J.H.S. 052 Inwood,Middle School,51%,88%,90%,7.9,7.4,7.9,8.3
06M098,P.S. 098 Shorac Kappock,Elementary School,69%,81%,NA,8.0,7.3,7.3,7.4
06M115,P.S. 115 Alexander Humboldt,Elementary School,41%,72%,NA,7.8,6.4,6.8,7.0
06M128,P.S. 128 Audubon,Elementary School,59%,58%,NA,8.6,7.8,8.2,8.2
06M132,P.S. 132 Juan Pablo Duarte,Elementary School,59%,96%,NA,7.7,7.4,7.5,7.5
06M143,J.H.S. 143 Eleanor Roosevelt,Middle School,96%,100%,99%,7.5,7.3,7.5,7.8
06M152,P.S. 152 Dyckman Valley,Elementary School,45%,69%,NA,7.4,6.3,6.4,6.4
06M153,P.S. 153 Adam Clayton Powell,Elementary School,94%,92%,NA,8.7,8.3,8.5,8.7
06M173,P.S. 173,Elementary School,65%,56%,NA,8.2,7.1,7.2,7.7
06M178,Professor Juan Bosch Public School,Early Childhood School,100%,100%,NA,9.0,8.5,8.6,8.7
06M187,P.S./I.S. 187 Hudson Cliffs,Elementary/Middle School,55%,92%,98%,7.7,6.7,7.2,7.5
06M189,P.S. 189,Elementary School,58%,64%,NA,8.2,7.5,7.7,7.9
06M192,P.S. 192 Jacob H. Schiff,Elementary School,53%,90%,NA,8.8,8.6,8.3,8.7
