,borough,geographical,admin_district,ats_code,location_name,grade_level,building_code,building_name,address,building_ownership,room_no,area,function,is_school_co_located,inside_v_outside,is_the_space_shared,space_used_for_any
145,M,2,2,02M135,The Urban Assembly School for Emergency Management,High school,M520,Murry Bergtraum Hs (Ecf) - M,411 Pearl Street,DOE Owned,250,6882.0,Gymnasium/Auditorium/Cafeteria,true,Inside,true,True
146,M,2,2,02M135,The Urban Assembly School for Emergency Management,High school,M520,Murry Bergtraum Hs (Ecf) - M,411 Pearl Street,DOE Owned,GYM #1,5106.0,Gymnasium,true,Inside,true,False
147,M,2,2,02M135,The Urban Assembly School for Emergency Management,High school,M520,Murry Bergtraum Hs (Ecf) - M,411 Pearl Street,DOE Owned,GYM #2,11840.0,Gymnasium,true,Inside,true,False
148,M,2,2,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,High school,M625,Hs Of Graphic Communication Arts-M,439 West 49Th Street,DOE Owned,247B,816.0,Dance Room,true,Inside,true,False
149,M,2,2,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,High school,M625,Hs Of Graphic Communication Arts-M,439 West 49Th Street,DOE Owned,644,640.0,Weight Room,true,Inside,true,False
150,M,2,2,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,High school,M625,Hs Of Graphic Communication Arts-M,439 West 49Th Street,DOE Owned,B18,6016.0,Gymnasium,true,Inside,true,False
151,M,2,2,02M150,P.S. 150,Elementary,M840,P.S. 150 - Manhattan,334 Greenwich Street,Tax Levy Lease,Outdoor Yard 1,8874.0,Outdoor Yard,false,Outdoor,false,False
152,M,2,2,02M150,P.S. 150,Elementary,M840,P.S. 150 - Manhattan,334 Greenwich Street,Tax Levy Lease,1 FLOOR,884.0,Playroom/Cafeteria,false,Inside,false,True
153,M,2,2,02M151,Yorkville Community School,Elementary,M066,Richard R Green Hs Of Teaching - M,421 East 88 Street,DOE Owned,301/302,1218.0,Gymnasium,false,Inside,false,False
154,M,2,2,02M151,Yorkville Community School,Elementary,M066,Richard R Green Hs Of Teaching - M,421 East 88 Street,DOE Owned,306,567.0,Dance Room,false,Inside,false,False
