,report_date,building_id,dob_violations,hpd_violations,fdny_violations,total_open_violations
401,2018-03-31T00:00:00.000,TQ57,11,3,3,17.0
402,2018-03-31T00:00:00.000,TQ58,3,2,0,5.0
403,2018-03-31T00:00:00.000,TQ59,0,0,0,0.0
404,2018-03-31T00:00:00.000,TQ60,0,9,2,11.0
405,2018-03-31T00:00:00.000,TQ61,9,2,2,10.0
406,2018-03-31T00:00:00.000,TQ62,3,12,0,15.0
407,2018-03-31T00:00:00.000,TQ63,2,7,1,10.0
408,2018-03-31T00:00:00.000,TQ64,27,1,1,29.0
409,2018-03-31T00:00:00.000,TQ65,7,12,1,20.0
410,2018-03-31T00:00:00.000,TQ66,2,13,2,17.0
411,2018-03-31T00:00:00.000,TQ67,17,3,0,20.0
412,2018-03-31T00:00:00.000,TQ68,2,0,0,2.0
413,2018-03-31T00:00:00.000,TQ69,1,0,1,2.0
414,2018-03-31T00:00:00.000,TQ70,5,15,3,23.0
415,2018-03-31T00:00:00.000,TQ71,7,94,1,102.0
416,2018-03-31T00:00:00.000,TQ72,0,11,3,14.0
417,2018-03-31T00:00:00.000,TQ73,6,7,0,13.0
418,2018-03-31T00:00:00.000,TQ74,15,23,1,39.0
419,2018-03-31T00:00:00.000,TQ75,3,15,0,18.0
420,2018-03-31T00:00:00.000,TQ76,4,5,0,9.0
421,2018-03-31T00:00:00.000,TQ77,7,0,2,9.0
422,2018-03-31T00:00:00.000,TQ78,0,5,3,8.0
423,2018-03-31T00:00:00.000,TQ79,3,7,1,11.0
424,2018-03-31T00:00:00.000,TQ80,15,48,6,69.0
425,2018-03-31T00:00:00.000,TQ81,0,0,0,0.0
426,2018-03-31T00:00:00.000,TQ82,13,150,3,166.0
427,2018-03-31T00:00:00.000,TQ83,3,61,2,66.0
428,2018-03-31T00:00:00.000,TQ84,1,19,1,21.0
429,2018-03-31T00:00:00.000,TQ85,5,5,1,11.0
