order,property_id,property_name,parent_property_id,parent_property_name,bbl_10_digits,nyc_borough_block_and_lot_bbl_self_reported,nyc_building_identification_number_bin,address_1_self_reported,address_2,postal_code,street_number,street_name,borough,dof_gross_floor_area,primary_property_type_self_selected,list_of_all_property_use_types_at_property,largest_property_use_type,largest_property_use_type_gross_floor_area_ft,_2nd_largest_property_use_type,_2nd_largest_property_use_gross_floor_area_ft,_3rd_largest_property_use_type,_3rd_largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings_self_reported,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,site_eui_kbtu_ft,weather_normalized_site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_source_eui_kbtu_ft,fuel_oil_1_use_kbtu,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,district_steam_use_kbtu,natural_gas_use_kbtu,weather_normalized_site_natural_gas_use_therms,electricity_use_grid_purchase_kbtu,weather_normalized_site_electricity_kwh,total_ghg_emissions_metric_tons_co2e,direct_ghg_emissions_metric_tons_co2e,indirect_ghg_emissions_metric_tons_co2e,property_gfa_self_reported_ft,water_use_all_water_sources_kgal,water_intensity_all_water_sources_gal_ft,source_eui_kbtu_ft,release_date,water_required,dof_benchmarking_submission_status,latitude,longitude,community_board,council_district,census_tract,nta
32,2831114,MCKINLEY,2831114,MCKINLEY,2026380090.0,2026380090,2091956;2091957;2091958;2091959;2091960,730 EAST 163RD STREET,Not Available,10456,725.0,EAST 161 STREET,Bronx,750000.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,855844.0,Not Available,Not Available,Not Available,Not Available,1962,6,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,,,,641719,Not Available,Not Available,,2017-06-02T10:55:11.000,,In Compliance,40.821523,-73.90549,3.0,16.0,133.0,Morrisania-Melrose                                                         
33,3111973,Metro North - 420-440 East 102 St.,3111973,Metro North - 420-440 East 102 St.,1016940003.0,1-01694-0003,1083934,420-440 East 102 St.,Not Available,10029,455.0,EAST 102 STREET,Manhattan,175885.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,175885.0,Not Available,Not Available,Not Available,Not Available,1973,2,100,Whole Building,Whole Building,40,56.2,58.8,10.7,0.2,138.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3826349.7,39028.3,6056300.2,1887619.4,765.3,203.2,562.0,175885,237.9,1.35,131.0,2017-04-30T14:15:35.000,,In Compliance,40.786238,-73.93995799999999,11.0,8.0,162.0,East Harlem South                                                          
34,3129181,Benjamin: 86-02 208 St (Parent),3129181,Benjamin: 86-02 208 St (Parent),4105990100.0,4-10599-0100,4434653;4434656;4445475;4434654,86-02 208 St,Not Available,11427,,86 ROAD,Queens,167856.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,152308.0,Not Available,Not Available,Not Available,Not Available,1952,4,100,Whole Building,Whole Building,67,49.5,50.7,7.4,0.3,105.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3634699.8,38952.7,3900932.9,1121175.7,555.1,193.1,362.0,152308,Not Available,Not Available,105.5,2017-04-26T13:16:38.000,,In Compliance,,,,,,
35,3129218,Benjamin: 206-10 86 Rd (Parent),3129218,Benjamin: 206-10 86 Rd (Parent),4105900100.0,4-10590-0100,4434635;4434636;4434640;4434639;4434637;4434638,206-10 86 Road,Not Available,11427,,FRANCIS LEWIS BLVD,Queens,217584.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,228570.0,Not Available,Not Available,Not Available,Not Available,1952,6,100,Whole Building,Whole Building,99,25.5,25.1,4.9,0.1,61.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1919800,19198,3900932.9,1121175.7,464.0,102.0,362.0,228570,Not Available,Not Available,62.4,2017-04-26T13:16:38.000,Yes,In Compliance,,,,,,
36,3129231,Benjamin: 209-30 86 Drive (Parent),3129231,Benjamin: 209-30 86 Drive (Parent),4105920150.0,4-10592-0150,4434643;4434642;4434641;4434644,209-30 86 Drive,Not Available,11427,,GRND CNTRL PKWY SR E,Queens,145056.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,152380.0,Not Available,Not Available,Not Available,Not Available,1952,4,100,Whole Building,Whole Building,12,65.3,66.8,12.4,0.2,158.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3422100,37194.6,6531693.6,1892619.8,787.9,181.8,606.1,152380,Not Available,Not Available,158.2,2017-04-26T13:16:38.000,No,In Compliance,,,,,,
37,3129256,Benjamin: 209-31 86 Drive (Parent),3129256,Benjamin: 209-31 86 Drive (Parent),4105930002.0,4-10593-0002,4434645;4434646;4434647;4434648;4434649;4434650;4434651;4434652,209-31 86 Drive,Not Available,11427,,GRAND CENTRL PARKWAY,Queens,290112.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,304760.0,Not Available,Not Available,Not Available,Not Available,1952,8,100,Whole Building,Whole Building,88,43.7,43.4,5.7,0.2,86.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7268300.3,72683,6057016.5,1749805.6,948.1,386.1,562.1,304760,Not Available,Not Available,87.4,2017-04-26T13:16:38.000,No,In Compliance,,,,,,
38,3612678,Columbia University (morningside),3612678,Columbia University (morningside),,Not Available,Not Available,410 West 118th Street,B-230,10027,,,,,College/University,College/University,College/University,6386382.0,Not Available,Not Available,Not Available,Not Available,1897,56,100,Whole Building,Not Available,Not Available,175.9,175.9,16.2,1.2,300.4,Not Available,Not Available,Not Available,0,Not Available,Not Available,770027489,7700274.9,353396020.5,1.035744366E8,73694.9,40899.9,32795.0,6385382,Not Available,Not Available,300.4,2017-04-24T18:52:20.000,No,In Compliance,,,,,,
39,2658438,Business Law,3612678,Columbia University (morningside),1018670042.0,1018670042,1085710,1125 Amsterdam Avenue,Not Available,10027,,,,,Office,Office,Office,83131.0,Not Available,Not Available,Not Available,Not Available,1996,1,100,Whole Building,Whole Building,100,0.0,0,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0.0,0,0.0,0.0,0.0,83131,975.6,11.74,0.0,2017-04-24T18:52:20.000,,In Compliance,,,,,,
40,2977441,Kings Crown-420 West 116th,3612678,Columbia University (morningside),1018670067.0,1018670067,1056055,420 W 116th St,Not Available,10027,,,,,Office,Office,Office,50000.0,Not Available,Not Available,Not Available,Not Available,1906,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,50000,Not Available,Not Available,,2017-04-24T18:52:20.000,,In Compliance,,,,,,
41,3114649,438 W 116th St,3612678,Columbia University (morningside),1018670074.0,1018670074,1056058,438 W 116th St,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,54138.0,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,100,0.5,0.5,Not Available,0,0.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,28000,280,,Not Available,1.5,1.5,0.0,54138,Not Available,Not Available,0.5,2017-04-24T18:52:20.000,,In Compliance,,,,,,
42,2646962,Ruggles,3612678,Columbia University (morningside),1018850037.0,1018850037,1057033,508 West 114th Street,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,48608.0,Not Available,Not Available,Not Available,Not Available,1898,1,100,Whole Building,Not Available,99,16.0,16,4.5,0,49.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27900,279,750367.0,219920,71.1,1.5,69.6,48608,Not Available,Not Available,49.1,2017-04-24T18:52:20.000,,In Compliance,,,,,,
43,2977473,514 West 114th Street,3612678,Columbia University (morningside),1018850040.0,1018850040,1057034,410 West 118th Street,B-230,10027,514.0,WEST 114 STREET,Manhattan,57300.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,42352.0,Not Available,Not Available,Not Available,Not Available,1908,1,100,Whole Building,Not Available,100,6.1,5.8,0.7,0,10.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,157800,1468.2,98511.3,28872,17.5,8.4,9.1,57300,1668.9,39.41,11.2,2017-04-24T18:52:20.000,,In Compliance,40.805894,-73.962946,9.0,7.0,199.0,Morningside Heights                                                        
44,2658221,520 West 114th,3612678,Columbia University (morningside),1018850043.0,1018850043,1057035,520 West 114th Street,Not Available,10027,520.0,WEST 114 STREET,Manhattan,57430.0,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,42128.0,Not Available,Not Available,Not Available,Not Available,1908,1,100,Whole Building,Not Available,100,6.8,6.8,1.2,0,15.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,115700,1157,172640.4,50598,22.2,6.1,16.0,42128,Not Available,Not Available,15.8,2017-04-24T18:52:20.000,,In Compliance,40.805938,-73.96305100000001,9.0,7.0,199.0,Morningside Heights                                                        
45,2746882,Hogan Hall,3612678,Columbia University (morningside),1018850061.0,1018850061,1057049,566 West 114th Street,Not Available,10027,2910.0,BROADWAY,Manhattan,52624.0,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,72109.0,Not Available,Not Available,Not Available,Not Available,1898,1,100,Whole Building,Not Available,89,30.4,30.4,8.6,0,93,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,85200,852,2106568.7,617399.9,200.0,4.5,195.5,72109,Not Available,Not Available,93.0,2017-04-24T18:52:20.000,,In Compliance,40.806444,-73.96503,9.0,7.0,199.0,Morningside Heights                                                        
46,2658276,Broadway Residence,3612678,Columbia University (morningside),1018857501.0,1018857501,1057018,2900 Broadway,Not Available,10027,2900.0,BROADWAY,Manhattan,135458.0,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,140056.0,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,86,34.2,34.2,10,Not Available,107.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4787718.5,1403199.9,444.3,0.0,444.3,140056,Not Available,Not Available,107.3,2017-04-24T18:52:20.000,,In Compliance,40.806172,-73.96522900000001,9.0,7.0,199.0,Morningside Heights                                                        
47,2658264,Alfred Lerner Hall,3612678,Columbia University (morningside),1018860001.0,1018860001,1082166,2920 Broadway,Not Available,10027,,,,,Office,Office,Office,258119.0,Not Available,Not Available,Not Available,Not Available,1999,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,258119,Not Available,Not Available,,2017-04-24T18:52:20.000,,In Compliance,,,,,,
48,2658465,Butler Library,3612678,Columbia University (morningside),1018860001.0,1018860001,1082165,535 West 114th Street,Not Available,10027,,,,,Office,Office,Office,441108.0,Not Available,Not Available,Not Available,Not Available,1934,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,441108,Not Available,Not Available,,2017-04-24T18:52:20.000,,In Compliance,,,,,,
49,2658502,Carman,3612678,Columbia University (morningside),1018860001.0,1018860001,1082692,545 West 114th Street,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,157385.0,Not Available,Not Available,Not Available,Not Available,1908,1,100,Whole Building,Not Available,100,0.0,0,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,,Not Available,0.0,0.0,0.0,157385,Not Available,Not Available,0.0,2017-04-24T18:52:20.000,No,In Compliance,,,,,,
50,2746906,Hartley Hall,3612678,Columbia University (morningside),1018860001.0,1018860001,1084845,1124 Amsterdam Avenue,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,79951.0,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,79951,Not Available,Not Available,,2017-04-24T18:52:20.000,No,In Compliance,,,,,,
51,2746908,Hamilton Hall,3612678,Columbia University (morningside),1018860001.0,1018860001,1084846,1130 Amsterdam Avenue,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,87639.0,Not Available,Not Available,Not Available,Not Available,1907,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,87639,Not Available,Not Available,,2017-04-24T18:52:20.000,No,In Compliance,,,,,,
52,2746913,Wallach Hall,3612678,Columbia University (morningside),1018860001.0,1018860001,1082160,1116 Amsterdam Avenue,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,78464.0,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,78464,Not Available,Not Available,,2017-04-24T18:52:20.000,No,In Compliance,,,,,,
53,2747205,Furnald,3612678,Columbia University (morningside),1018860001.0,1018860001,1082163,2940 Broadway,Not Available,10027,,,,,Office,Office,Office,77271.0,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,77271,Not Available,Not Available,,2017-04-24T18:52:20.000,No,In Compliance,,,,,,
54,2747207,Journalism,3612678,Columbia University (morningside),1018860001.0,1018860001,1082164,2950 Broadway,Not Available,10027,,,,,Office,Office,Office,103681.0,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,103681,Not Available,Not Available,,2017-04-24T18:52:20.000,No,In Compliance,,,,,,
55,2747212,Dodge Hall,3612678,Columbia University (morningside),1018860001.0,1018860001,1082164,2960 Broadway,Not Available,10027,,,,,Office,Office,Office,101704.0,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,101704,Not Available,Not Available,,2017-04-24T18:52:20.000,No,In Compliance,,,,,,
56,2747271,John Jay,3612678,Columbia University (morningside),1018860001.0,1018860001,1083301,511 West 114th Street,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,169396.0,Not Available,Not Available,Not Available,Not Available,1935,1,100,Whole Building,Not Available,100,0.0,0,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,,Not Available,0.0,0.0,0.0,169396,Not Available,Not Available,0.0,2017-04-24T18:52:20.000,No,In Compliance,,,,,,
57,2747217,Wien Hall,3612678,Columbia University (morningside),1019610001.0,1019610001,1083610,411 West 116th Street,Not Available,10027,1145.0,AMSTERDAM AVENUE,Manhattan,710600.0,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,105156.0,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Not Available,100,0.0,0,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,,Not Available,0.0,0.0,0.0,105156,Not Available,Not Available,0.0,2017-04-24T18:52:20.000,No,In Compliance,40.80709,-73.960847,9.0,7.0,20101.0,Morningside Heights                                                        
58,2780716,Jerome Greene Law School,3612678,Columbia University (morningside),1019610001.0,1019610001,1076680,435 West 116th Street,Not Available,10027,1145.0,AMSTERDAM AVENUE,Manhattan,710600.0,Office,Office,Office,249978.0,Not Available,Not Available,Not Available,Not Available,1961,1,100,Whole Building,Not Available,73,73.4,73.4,21.5,Not Available,230.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18337452.7,5374399.3,1701.7,0.0,1701.7,249978,Not Available,Not Available,230.3,2017-04-24T18:52:20.000,No,In Compliance,40.80709,-73.960847,9.0,7.0,20101.0,Morningside Heights                                                        
59,3114587,President's House,3612678,Columbia University (morningside),1019610001.0,1019610001,1083609,60 Morningside Drive,Not Available,10027,1145.0,AMSTERDAM AVENUE,Manhattan,710600.0,Office,Office,Office,16803.0,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,100,0.0,0,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,,Not Available,0.0,0.0,0.0,16803,Not Available,Not Available,0.0,2017-04-24T18:52:20.000,No,In Compliance,40.80709,-73.960847,9.0,7.0,20101.0,Morningside Heights                                                        
60,3114642,Faculty House,3612678,Columbia University (morningside),1019610001.0,1019610001,1809321,400 W 117th St,Not Available,10027,1145.0,AMSTERDAM AVENUE,Manhattan,710600.0,Office,Office,Office,36752.0,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,36752,Not Available,Not Available,,2017-04-24T18:52:20.000,No,In Compliance,40.80709,-73.960847,9.0,7.0,20101.0,Morningside Heights                                                        
61,3114648,Jerome Greene Annex,3612678,Columbia University (morningside),1019610001.0,1019610001,Not Available,410 W 117th St,Not Available,10027,1145.0,AMSTERDAM AVENUE,Manhattan,710600.0,Office,Office,Office,6287.0,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,6287,Not Available,Not Available,,2017-04-24T18:52:20.000,No,In Compliance,40.80709,-73.960847,9.0,7.0,20101.0,Morningside Heights                                                        
62,2780735,International Affairs,3612678,Columbia University (morningside),1019610039.0,1019610039,1059497,420 West 118th Street,Not Available,10027,1165.0,AMSTERDAM AVENUE,Manhattan,422915.0,Office,Office,Office,423521.0,Not Available,Not Available,Not Available,Not Available,1910,1,100,Whole Building,Not Available,71,69.9,69.9,20.5,Not Available,219.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29607971.1,8677598.9,2747.6,0.0,2747.6,423521,Not Available,Not Available,219.5,2017-04-24T18:52:20.000,No,In Compliance,40.807738,-73.960373,9.0,7.0,20101.0,Morningside Heights                                                        
63,2780733,East Campus,3612678,Columbia University (morningside),1019610057.0,1019610057,1059498,410 West 118th Street,Not Available,10027,74.0,MORNINGSIDE DRIVE,Manhattan,365100.0,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,352040.0,Not Available,Not Available,Not Available,Not Available,1980,1,100,Whole Building,Whole Building,100,0.0,0,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,,Not Available,0.0,0.0,0.0,352040,Not Available,Not Available,0.0,2017-04-24T18:52:20.000,No,In Compliance,40.807023,-73.958712,9.0,7.0,20101.0,Morningside Heights                                                        
64,2658274,Avery && Extension,3612678,Columbia University (morningside),1019730001.0,1019730001,1084460,1172 Amsterdam Avenue,Not Available,10027,530.0,WEST 120 STREET,Manhattan,1368870.0,Office,Office,Office,95954.0,Not Available,Not Available,Not Available,Not Available,1977,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,95954,Not Available,Not Available,,2017-04-24T18:52:20.000,No,In Compliance,40.809752,-73.960217,9.0,7.0,203.0,Morningside Heights                                                        
65,2658585,CEPSR Schapiro,3612678,Columbia University (morningside),1019730001.0,1019730001,1084476,530 West 120th Street,Not Available,10027,530.0,WEST 120 STREET,Manhattan,1368870.0,Office,Office,Office,204069.0,Not Available,Not Available,Not Available,Not Available,1988,1,100,Whole Building,Not Available,1,4377.4,4377.4,179.3,37.7,5874.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,768452989,7684529.9,124836566.0,3.65875002E7,52401.0,40816.2,11584.8,204069,Not Available,Not Available,5874.8,2017-04-24T18:52:20.000,No,In Compliance,40.809752,-73.960217,9.0,7.0,203.0,Morningside Heights                                                        
66,2658588,Chandler,3612678,Columbia University (morningside),1019730001.0,1019730001,1084469,3010 Broadway,Not Available,10027,530.0,WEST 120 STREET,Manhattan,1368870.0,Office,Office,Office,77917.0,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,77917,Not Available,Not Available,,2017-04-24T18:52:20.000,No,In Compliance,40.809752,-73.960217,9.0,7.0,203.0,Morningside Heights                                                        
