,borough,neighborhood,type_of_home,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price,year
210,BROOKLYN,EAST NEW YORK,01 ONE FAMILY HOMES,59,150000,281915,295000,494702,2010
211,BROOKLYN,EAST NEW YORK,02 TWO FAMILY HOMES,211,150000,369169,368600,1469655,2010
212,BROOKLYN,EAST NEW YORK,03 THREE FAMILY HOMES,71,150000,421520,361440,2360375,2010
213,BROOKLYN,FLATBUSH-CENTRAL,01 ONE FAMILY HOMES,54,265500,817967,833750,1395000,2010
214,BROOKLYN,FLATBUSH-CENTRAL,02 TWO FAMILY HOMES,47,225000,541523,475000,1100000,2010
215,BROOKLYN,FLATBUSH-CENTRAL,03 THREE FAMILY HOMES,10,350000,511749,542500,675310,2010
216,BROOKLYN,FLATBUSH-EAST,01 ONE FAMILY HOMES,99,150000,383647,365000,1500000,2010
217,BROOKLYN,FLATBUSH-EAST,02 TWO FAMILY HOMES,102,166626,422058,399150,900000,2010
218,BROOKLYN,FLATBUSH-EAST,03 THREE FAMILY HOMES,25,240000,463984,462800,795241,2010
219,BROOKLYN,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY HOMES,20,220000,724763,727375,1325000,2010
220,BROOKLYN,FLATBUSH-LEFFERTS GARDEN,02 TWO FAMILY HOMES,15,180000,416090,325000,899000,2010
221,BROOKLYN,FLATBUSH-LEFFERTS GARDEN,03 THREE FAMILY HOMES,2,485000,502500,502500,520000,2010
222,BROOKLYN,FLATBUSH-NORTH,01 ONE FAMILY HOMES,20,152000,289131,285000,540000,2010
223,BROOKLYN,FLATBUSH-NORTH,02 TWO FAMILY HOMES,43,210000,378577,360000,650000,2010
224,BROOKLYN,FLATBUSH-NORTH,03 THREE FAMILY HOMES,15,230000,408449,400000,580000,2010
225,BROOKLYN,FLATLANDS,01 ONE FAMILY HOMES,35,150500,380314,400000,612500,2010
226,BROOKLYN,FLATLANDS,02 TWO FAMILY HOMES,29,210000,454460,448000,605000,2010
227,BROOKLYN,FLATLANDS,03 THREE FAMILY HOMES,3,382785,490928,440000,650000,2010
228,BROOKLYN,FORT GREENE,01 ONE FAMILY HOMES,5,725000,1132000,1175000,1500000,2010
229,BROOKLYN,FORT GREENE,02 TWO FAMILY HOMES,18,222250,1407940,1255000,2800000,2010
230,BROOKLYN,FORT GREENE,03 THREE FAMILY HOMES,10,440000,1249682,1137500,2540000,2010
231,BROOKLYN,GERRITSEN BEACH,01 ONE FAMILY HOMES,40,200000,366419,380000,535000,2010
232,BROOKLYN,GERRITSEN BEACH,02 TWO FAMILY HOMES,5,200000,382000,425000,460000,2010
233,BROOKLYN,GOWANUS,01 ONE FAMILY HOMES,3,335000,548333,650000,660000,2010
234,BROOKLYN,GOWANUS,02 TWO FAMILY HOMES,26,240000,834604,749500,1570000,2010
235,BROOKLYN,GOWANUS,03 THREE FAMILY HOMES,6,535000,979637,862000,1850000,2010
236,BROOKLYN,GRAVESEND,01 ONE FAMILY HOMES,44,197650,486695,491000,840000,2010
237,BROOKLYN,GRAVESEND,02 TWO FAMILY HOMES,83,180000,631908,610000,1125000,2010
238,BROOKLYN,GRAVESEND,03 THREE FAMILY HOMES,39,280000,791170,800000,1344090,2010
239,BROOKLYN,GREENPOINT,01 ONE FAMILY HOMES,6,385000,643150,602000,999900,2010
240,BROOKLYN,GREENPOINT,02 TWO FAMILY HOMES,25,168000,738173,765000,1300000,2010
241,BROOKLYN,GREENPOINT,03 THREE FAMILY HOMES,17,600000,796235,750000,1250000,2010
242,BROOKLYN,KENSINGTON,01 ONE FAMILY HOMES,6,380000,549583,570000,635000,2010
243,BROOKLYN,KENSINGTON,02 TWO FAMILY HOMES,13,158000,570129,577000,775000,2010
244,BROOKLYN,KENSINGTON,03 THREE FAMILY HOMES,3,376000,611667,499000,960000,2010
245,BROOKLYN,MADISON,01 ONE FAMILY HOMES,65,180000,549825,525000,900000,2010
246,BROOKLYN,MADISON,02 TWO FAMILY HOMES,39,180000,624547,575000,1500000,2010
247,BROOKLYN,MADISON,03 THREE FAMILY HOMES,3,175000,518333,400000,980000,2010
248,BROOKLYN,MANHATTAN BEACH,01 ONE FAMILY HOMES,24,400000,1289522,1170000,3175000,2010
249,BROOKLYN,MANHATTAN BEACH,02 TWO FAMILY HOMES,8,250000,993750,1090000,1425000,2010
250,BROOKLYN,MARINE PARK,01 ONE FAMILY HOMES,115,200000,476969,460000,905000,2010
251,BROOKLYN,MARINE PARK,02 TWO FAMILY HOMES,44,150000,510917,546750,836000,2010
252,BROOKLYN,MARINE PARK,03 THREE FAMILY HOMES,3,635000,1003333,775000,1600000,2010
253,BROOKLYN,MIDWOOD,01 ONE FAMILY HOMES,62,200000,692209,646250,1500000,2010
254,BROOKLYN,MIDWOOD,02 TWO FAMILY HOMES,36,220000,610156,616250,1150000,2010
