,x,y,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,combination_of_primary_and,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,geocoded_column,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,age,primary_fur_color,highlight_fur_color,location,above_ground_sighter,other_interactions,other_activities,color_notes,specific_location,:@computed_region_efsh_h5xi
365,-73.9673548527075,40.7765669058396,15G-PM-1019-11,15G,PM,10192018,11,Gray+,False,False,True,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9673548527075, 40.7765669058396]}",19,4,19,13,Adult,Gray,,Above Ground,4,stared,,,,
366,-73.9704862864304,40.7739583111676,11F-PM-1006-02,11F,PM,10062018,2,Gray+,False,False,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9704862864304, 40.7739583111676]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,,
367,-73.970315671921,40.7720905395472,10G-PM-1017-02,10G,PM,10172018,2,Gray+Cinnamon,False,False,False,True,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.970315671921, 40.7720905395472]}",19,4,19,13,Adult,Gray,Cinnamon,Ground Plane,FALSE,,,,,
368,-73.9596398997228,40.7933386953847,34D-PM-1007-02,34D,PM,10072018,2,Black+,True,False,True,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9596398997228, 40.7933386953847]}",19,4,19,13,Adult,Black,,Above Ground,25,cautiously aware,,,,
369,-73.9548957862084,40.7944844464619,37G-AM-1014-05,37G,AM,10142018,5,Gray+,False,False,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9548957862084, 40.7944844464619]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,,
370,-73.964080104186,40.7907898627287,30B-AM-1007-02,30B,AM,10072018,2,Gray+,True,False,False,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.964080104186, 40.7907898627287]}",19,4,19,13,Adult,Gray,,Above Ground,15,,,,,
371,-73.9781303869038,40.7725000348875,7A-AM-1006-02,07A,AM,10062018,2,Gray+Cinnamon,False,False,True,False,False,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9781303869038, 40.7725000348875]}",19,4,19,13,Adult,Gray,Cinnamon,Above Ground,8,,,,in tree,
372,-73.9672127283283,40.7810666805133,20D-AM-1007-01,20D,AM,10072018,1,Gray+,True,False,True,True,False,False,False,False,True,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9672127283283, 40.7810666805133]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,a lot of activity,too far to note 30',,
373,-73.9556817958407,40.788852000621,32I-AM-1013-02,32I,AM,10132018,2,Gray+Cinnamon,False,False,True,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9556817958407, 40.788852000621]}",19,4,19,13,Juvenile,Gray,Cinnamon,Above Ground,15,watching me from tree - curious,,,,
374,-73.9752000129992,40.7732918122239,8C-PM-1013-04,08C,PM,10132018,4,Cinnamon+White,True,False,False,False,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9752000129992, 40.7732918122239]}",19,4,19,13,Juvenile,Cinnamon,White,Ground Plane,FALSE,,,,,
