report_date,building_id,dob_violations,hpd_violations,fdny_violations,total_open_violations
2018-03-31T00:00:00.000,TQ26,6,47,9,62.0
2018-03-31T00:00:00.000,TQ27,7,12,2,21.0
2018-03-31T00:00:00.000,TQ28,11,110,3,124.0
2018-03-31T00:00:00.000,TQ29,7,49,2,58.0
2018-03-31T00:00:00.000,TQ30,5,3,2,10.0
2018-03-31T00:00:00.000,TQ31,24,13,0,37.0
2018-03-31T00:00:00.000,TQ32,0,0,0,0.0
2018-03-31T00:00:00.000,TQ33,9,19,0,28.0
2018-03-31T00:00:00.000,TQ34,56,40,0,96.0
2018-03-31T00:00:00.000,TQ35,0,7,2,9.0
2018-03-31T00:00:00.000,TQ36,9,48,3,60.0
2018-03-31T00:00:00.000,TQ37,7,2,0,9.0
2018-03-31T00:00:00.000,TQ38,6,8,1,15.0
2018-03-31T00:00:00.000,TQ39,2,2,0,4.0
2018-03-31T00:00:00.000,TQ40,0,0,3,3.0
2018-03-31T00:00:00.000,TQ41,0,4,0,4.0
2018-03-31T00:00:00.000,TQ42,11,11,0,22.0
2018-03-31T00:00:00.000,TQ43,14,71,10,95.0
2018-03-31T00:00:00.000,TQ44,4,23,1,28.0
2018-03-31T00:00:00.000,TQ45,57,46,7,110.0
2018-03-31T00:00:00.000,TQ46,13,27,0,40.0
2018-03-31T00:00:00.000,TQ47,0,0,5,5.0
2018-03-31T00:00:00.000,TQ48,2,16,0,18.0
2018-03-31T00:00:00.000,TQ49,44,101,2,147.0
2018-03-31T00:00:00.000,TQ50,1,0,2,3.0
2018-03-31T00:00:00.000,TQ51,19,12,1,32.0
2018-03-31T00:00:00.000,TQ52,24,12,1,37.0
2018-03-31T00:00:00.000,TQ53,2,6,0,8.0
2018-03-31T00:00:00.000,TQ54,2,43,1,46.0
2018-03-31T00:00:00.000,TQ55,8,8,0,16.0
2018-03-31T00:00:00.000,TQ56,4,32,2,38.0
2018-03-31T00:00:00.000,TQ57,11,3,3,17.0
2018-03-31T00:00:00.000,TQ58,3,2,0,5.0
2018-03-31T00:00:00.000,TQ59,0,0,0,0.0
2018-03-31T00:00:00.000,TQ60,0,9,2,11.0
2018-03-31T00:00:00.000,TQ61,9,2,2,10.0
2018-03-31T00:00:00.000,TQ62,3,12,0,15.0
2018-03-31T00:00:00.000,TQ63,2,7,1,10.0
2018-03-31T00:00:00.000,TQ64,27,1,1,29.0
2018-03-31T00:00:00.000,TQ65,7,12,1,20.0
2018-03-31T00:00:00.000,TQ66,2,13,2,17.0
2018-03-31T00:00:00.000,TQ67,17,3,0,20.0
2018-03-31T00:00:00.000,TQ68,2,0,0,2.0
2018-03-31T00:00:00.000,TQ69,1,0,1,2.0
2018-03-31T00:00:00.000,TQ70,5,15,3,23.0
2018-03-31T00:00:00.000,TQ71,7,94,1,102.0
2018-03-31T00:00:00.000,TQ72,0,11,3,14.0
2018-03-31T00:00:00.000,TQ73,6,7,0,13.0
2018-03-31T00:00:00.000,TQ74,15,23,1,39.0
2018-03-31T00:00:00.000,TQ75,3,15,0,18.0
2018-03-31T00:00:00.000,TQ76,4,5,0,9.0
2018-03-31T00:00:00.000,TQ77,7,0,2,9.0
2018-03-31T00:00:00.000,TQ78,0,5,3,8.0
2018-03-31T00:00:00.000,TQ79,3,7,1,11.0
2018-03-31T00:00:00.000,TQ80,15,48,6,69.0
2018-03-31T00:00:00.000,TQ81,0,0,0,0.0
2018-03-31T00:00:00.000,TQ82,13,150,3,166.0
2018-03-31T00:00:00.000,TQ83,3,61,2,66.0
